NAME_1,NAME_2,year,ndvi_mean,pob_tot,pob_mas,pob_fem,cve_mun,cve_ent,delitos,n_encuestados,prop_inseguro,n_valido_percepcion,prop_espera_empeorar,n_valido_expectativa,prop_atestiguo_alguno,indice_atestiguo,n_valido_atestiguo,prop_cambio_habito,indice_habito,n_valido_habito
Chiapas,Chiapa de Corzo,2016,0.585716605186462,112075,55166,56909,7027,07,64,93,0.7956989247311828,93,0.5698924731182796,93,0.9247311827956988,3,93,0.6989247311827957,1.752688172043011,93
Chiapas,Chiapa de Corzo,2017,0.6037837266922,112075,55166,56909,7027,07,38,92,0.8586956521739131,92,0.449438202247191,89,0.9239130434782608,3.1739130434782608,92,0.8369565217391305,2.010989010989011,91
Chiapas,Chiapa de Corzo,2018,0.609017908573151,112075,55166,56909,7027,07,36,85,0.6941176470588235,85,0.41975308641975306,81,0.9411764705882352,3.376470588235294,85,0.788235294117647,2.2,85
Chiapas,Chiapa de Corzo,2019,0.608716309070587,112075,55166,56909,7027,07,32,95,0.6526315789473685,95,0.3191489361702128,94,0.8526315789473684,2.863157894736842,95,0.6421052631578947,1.4421052631578948,95
Chiapas,Chiapa de Corzo,2020,0.606849074363708,112075,55166,56909,7027,07,24,71,0.5285714285714286,70,0.3582089552238806,67,0.7183098591549296,2.140845070422535,71,0.6901408450704225,1.3943661971830985,71
Chiapas,Juárez,2013,0.745127439498901,471523,237717,233806,19031,19,53.3137641880093,4,0.5,4,0.25,4,0.75,2.5,4,0.25,0.25,4
Chiapas,Juárez,2014,0.751820504665375,471523,237717,233806,19031,19,48.4670583527357,33,0.7878787878787878,33,0.030303030303030304,33,0.9090909090909092,3,33,0.8787878787878788,2.212121212121212,33
Chiapas,Juárez,2015,0.753062427043915,471523,237717,233806,19031,19,51,56,0.6785714285714286,56,0.14285714285714285,56,0.8035714285714286,2.571428571428572,56,0.625,1.5535714285714284,56
Chiapas,Juárez,2016,0.733800411224365,1512450,756977,755473,8037,08,502,1057,0.5601895734597157,1055,0.16666666666666666,1056,0.6963103122043519,2.0842005676442774,1057,0.6726584673604541,1.589962121212119,1056
Chiapas,Juárez,2016,0.733800411224365,471523,237717,233806,19031,19,47,68,0.7058823529411765,68,0.38235294117647056,68,0.8970588235294118,2.8235294117647056,68,0.7205882352941176,1.7941176470588236,68
